forwarder,myerson
0,2523.000000000001
48,6783.999999999998
1,7495.499999999999
9,3971.0000000000036
10,3364.000000000006
11,845.500000000008
12,6975.500000000008
14,9635.000000000007
13,4131.000000000001
20,9755.5
15,5169.499999999999
49,2462.4999999999986
16,878.0000000000005
17,2439.0000000000005
24,2235.000000000001
43,3058.0000000000064
6,6379.000000000002
21,8814.0
36,5122.5
23,3896.4999999999995
25,6619.5
27,3035.0
29,2649.5
30,4121.499999999997
31,3116.0
32,5008.500000000002
33,9811.500000000002
40,7128.000000000004
38,3020.0000000000005
39,7068.0
2,1848.0000000000005
3,7286.499999999997
41,4390.000000000003
42,4054.0000000000005
44,1581.5
45,4829.5
47,6697.999999999998
4,4987.500000000002
5,6898.500000000002
8,5147.000000000001
